pID,condition,e0,e10,e20,e30,e40,e50,e60,e70,e80,e90,e100,age,gender,botCheck,actuallyEstimated
143,uniform,0,0.0333,0.0767,0.14,0.4687,0.1567,0.1246,0,0,0,0,40,male,1,1
144,uniform,0.0069,0.0218,0.0338,0.0864,0.1771,0.3409,0.1719,0.1025,0.0343,0.0178,0.0066,18,male,1,1
145,uniform,0.0907,0.0918,0.0907,0.0907,0.0907,0.0922,0.0907,0.0907,0.0907,0.0907,0.0907,18,male,1,1
146,uniform,0,0.0033,0.0446,0.0522,0.0562,0.0715,0.1334,0.4801,0.106,0.0527,0,24,male,1,1
147,uniform,0.1718,0.0841,0.106,0.1481,0.0183,0.0713,0.0951,0.0366,0.0768,0.1261,0.0658,21,male,1,0
148,uniform,0.0119,0.0119,0.0119,0.0119,0.0152,0.0967,0.7933,0.0119,0.0119,0.0119,0.0119,20,male,1,1
149,uniform,0.0604,0.0107,0.022,0.0017,0.0123,0.0017,0.0812,0.6971,0.0412,0.0017,0.07,35,male,1,1
150,uniform,0.014,0.014,0.0172,0.014,0.014,0.014,0.014,0.1937,0.4935,0.1977,0.014,18,male,1,1
151,uniform,0.0131,0.0214,0.0235,0.0017,0.0759,0.0256,0.0017,0.0017,0.7871,0.0017,0.0466,44,male,1,1
152,uniform,0,0.0891,0.0184,0.0013,0.1107,0.0891,0,0.614,0.0077,0,0.0698,23,male,1,1
153,uniform,0,0.0079,0,0,0,0.0133,0.0509,0.1976,0.4576,0.1893,0.0834,26,male,1,1
154,uniform,0.006,0.0206,0.0486,0.0576,0.0937,0.1154,0.1691,0.2273,0.147,0.107,0.0077,18,male,1,1
155,uniform,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.1577,0.6338,0.0363,0.0297,0.0056,21,male,1,1
156,uniform,0.0913,0.0906,0.0896,0.0912,0.0931,0.0916,0.0878,0.0904,0.0936,0.0897,0.0913,25,male,1,1
157,uniform,0.0003,0.0003,0.0003,0.0003,0.0409,0.0897,0.1886,0.2901,0.3887,0.0003,0.0003,27,male,1,1
158,uniform,0.0007,0.0018,0.001,0.0031,0.0016,0.0028,0.0585,0.5882,0.3146,0.0267,0.0012,21,male,1,1
159,uniform,0,0,0,0,0.044,0.0909,0.0537,0.2558,0.4961,0.0594,0,18,male,1,1
160,uniform,0.0688,0.0671,0.1239,0.0861,0.0448,0.1515,0.0465,0.1429,0.1704,0.0465,0.0516,20,male,1,0
161,uniform,0.0009,0.0009,0.0009,0.0009,0.0238,0.0488,0.1875,0.2262,0.1983,0.3109,0.0009,27,male,1,1
162,uniform,0.0473,0.1884,0.0473,0.0473,0.0473,0.0458,0.0473,0.0473,0.3872,0.0473,0.0473,34,male,1,1
163,uniform,0.003,0.0537,0.0575,0.0559,0.0553,0.494,0.0568,0.0563,0.0551,0.0559,0.0565,35,male,1,1
164,uniform,0.0007,0.0007,0.1933,0.0007,0.0007,0.0007,0.0007,0.0007,0.794,0.0068,0.0007,21,male,1,1
165,uniform,0,0.002,0.0185,0.0023,0,0,0.3027,0.3906,0.2707,0.0126,0.0006,29,male,1,1
166,uniform,0.0014,0.0045,0,0.0161,0.0227,0.0681,0.109,0.2046,0.5463,0.0262,0.0012,28,male,1,1
167,uniform,0.1617,0.1195,0.1353,0.1687,0.0018,0.0914,0.0422,0.1353,0.0949,0.0369,0.0123,20,male,1,0
168,uniform,0,0.1172,0.1144,0.1105,0.1382,0.1075,0.122,0.0969,0.096,0.0973,0,23,male,1,1
169,uniform,0.0179,0.1012,0.1116,0.0595,0.0848,0.0967,0.0789,0.0952,0.1071,0.1116,0.1354,22,male,1,0
170,uniform,0.007,0.1383,0.0712,0.1397,0.1369,0.0154,0.067,0.1145,0.1355,0.081,0.0936,22,male,1,0
171,uniform,0,0.01,0.01,0.0167,0.03,0.0633,0.102,0.0943,0.1474,0.2284,0.2979,19,male,1,1
172,uniform,0.152,0.152,0.012,0.08,0.02,0.034,0.184,0.028,0.078,0.088,0.172,19,male,1,0
173,uniform,0,0,0,0,0.0032,0.0248,0.0533,0.2225,0.4756,0.2206,0,24,male,1,1
174,uniform,0,0,0,0,0.0067,0.0133,0.0556,0.2859,0.6385,0,0,23,male,1,1
175,uniform,0.0013,0.2163,0.2541,0.2333,0.2512,0.0376,0.0013,0.0013,0.0013,0.0013,0.0013,30,male,1,1
176,uniform,0.002,0.0314,0.1765,0.0412,0.0588,0.1314,0.1647,0.0529,0.1961,0.0176,0.1275,42,male,1,0
177,uniform,0,0.0004,0,0,0,0,0,0,0.9996,0,0,30,male,1,1
178,uniform,0.0023,0.0023,0.0943,0.0023,0.0023,0.6914,0.1956,0.0023,0.0023,0.0023,0.0023,24,male,1,1
179,uniform,0,0,0,0,0,0,0,0.2513,0.7487,0,0,33,male,1,1
180,uniform,0,0,0,0,0,0,0,0,0.9984,0.0016,0,37,male,1,1
181,uniform,0.0334,0.0334,0.0334,0.0334,0.0334,0.0334,0.2184,0.3884,0.126,0.0334,0.0334,35,male,1,1
182,uniform,0.1105,0.047,0.134,0.0442,0.1243,0.1008,0.1285,0.0414,0.0041,0.1271,0.1381,25,male,1,0
183,uniform,0,0,0,0,0,0.0324,0.0988,0.2773,0.5916,0,0,19,male,1,1
184,uniform,0.0003,0.0003,0.0003,0.0003,0.0003,0.0217,0.0585,0.1683,0.488,0.2615,0.0003,30,male,1,1
185,uniform,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0005,0.9962,0.0004,0.0004,26,male,1,1
186,uniform,0.1811,0.0617,0.177,0.0329,0.1008,0.0247,0.1564,0.1029,0.0247,0.0864,0.0514,20,male,1,0
187,uniform,0.1212,0.0019,0.0587,0.125,0.0152,0.1269,0.0265,0.1496,0.1477,0.0909,0.1364,35,male,0,0
188,uniform,0.0052,0.0027,0.0011,0.001,0.1445,0.183,0.0026,0.3801,0.0002,0.1843,0.0954,25,male,1,1
189,uniform,0.0203,0.0203,0.0203,0.0203,0.0203,0.023,0.0203,0.0203,0.794,0.0203,0.0203,25,male,1,1
190,uniform,0,0,0,0,0,0,0.0922,0.3482,0.5596,0,0,23,male,1,1
191,uniform,0.1418,0.0258,0.0608,0.116,0.081,0.0184,0.1492,0.1123,0.1731,0.1031,0.0184,22,male,1,0
192,uniform,0.079,0.1356,0.0365,0.0642,0.0467,0.0743,0.1864,0.101,0.0821,0.1073,0.0869,28,male,1,1
193,uniform,0.0615,0.0457,0.1388,0.0949,0.0879,0.1424,0.1582,0.1441,0.0035,0.0088,0.1142,18,male,1,0
194,uniform,0.1667,0.1426,0.1948,0.1446,0.0643,0.0221,0.0141,0.0522,0.0643,0.0341,0.1004,20,male,1,0
195,uniform,0.0207,0.0207,0.0207,0.0207,0.0207,0.0207,0.0221,0.0207,0.7919,0.0207,0.0207,22,male,1,1
196,uniform,0.0033,0.0013,0.0661,0.0661,0.0661,0.0661,0.0661,0.0661,0.4963,0.0367,0.0661,25,male,1,1
197,uniform,0.0012,0.115,0.1098,0.116,0.1002,0.1264,0.1173,0.1082,0.1021,0.0964,0.0075,23,male,1,1
198,uniform,0.1104,0.0195,0.039,0.1234,0.1126,0.1212,0.0758,0.2165,0.039,0.0325,0.1104,20,male,1,0
199,uniform,0.134,0.1684,0.0808,0.0344,0.0292,0.1237,0.0034,0.0584,0.0911,0.1357,0.1409,18,male,1,0
200,uniform,0.0029,0.0275,0.0862,0.1201,0.1527,0.1572,0.1403,0.1362,0.1173,0.0321,0.0275,26,male,1,1
201,uniform,0.0689,0.1176,0.0739,0.1529,0.1109,0.005,0.0034,0.1143,0.1563,0.1176,0.079,38,male,1,0
202,uniform,0.0085,0.0396,0.057,0.0661,0.0784,0.0915,0.1209,0.1673,0.1962,0.165,0.0095,20,male,1,1
203,uniform,0,0.0062,0.0617,0.01,0.0201,0.0875,0.1272,0.1844,0.4042,0.0987,0,23,male,1,1
204,uniform,0,0,0,0,0,0,0,0.162,0.647,0.191,0,20,male,1,1
205,uniform,0.0534,0.0571,0.085,0.0909,0.1122,0.1339,0.1588,0.1295,0.1065,0.0404,0.0323,36,male,1,1
206,uniform,0.0021,0.0032,0.1167,0.2318,0.0029,0.0872,0.4942,0.0155,0.0408,0.0029,0.0029,27,male,1,1
207,uniform,0,0.0117,0,0.045,0.1049,0.154,0.3275,0.2058,0.1511,0,0,25,male,1,1
208,peaked,0.0127,0.0147,0.0127,0.0127,0.0127,0.0127,0.0127,0.0275,0.7809,0.0882,0.0127,60,male,1,1
209,peaked,0.0031,0.0074,0.0184,0.0239,0.0246,0.0494,0.0852,0.1755,0.544,0.0656,0.003,23,male,1,1
210,peaked,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.7979,0.1961,0.0007,18,male,1,1
211,peaked,0.01,0.01,0.01,0.01,0.0124,0.01,0.0109,0.01,0.8967,0.01,0.01,28,male,1,1
212,peaked,0,0,0,0,0,0,0.3832,0.4935,0.1233,0,0,18,male,1,1
213,peaked,0.0074,0.0074,0.0074,0.0074,0.0074,0.0658,0.137,0.1939,0.465,0.0977,0.0033,28,male,1,1
214,peaked,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.7984,0.1849,0.0019,19,male,1,1
215,peaked,0.003,0.0021,0.0032,0.0036,0.0014,0.0369,0.294,0.3943,0.1933,0.0669,0.0014,22,male,1,1
216,peaked,0.0144,0.0144,0.0144,0.0144,0.0032,0.028,0.3507,0.3323,0.1992,0.0144,0.0144,23,male,1,1
217,peaked,0.0004,0.0025,0.0025,0.0033,0.014,0.0436,0.0905,0.1453,0.5923,0.105,0.0008,21,male,1,1
218,peaked,0.0049,0.0044,0.001,0.0019,0.0033,0.0255,0.0555,0.0527,0.7966,0.0536,0.0006,18,male,1,1
219,peaked,0,0,0,0.1901,0,0,0.4303,0.3687,0.011,0,0,28,male,1,1
220,peaked,0,0,0,0,0,0,0.1017,0.191,0.6086,0.0987,0,19,male,1,1
221,peaked,0,0,0,0,0,0.0583,0.0645,0.1885,0.4949,0.1938,0,18,male,1,1
222,peaked,0.0035,0.0035,0.0035,0.2699,0.0035,0.0035,0.0035,0.6985,0.0035,0.0035,0.0035,18,male,1,1
223,peaked,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0521,0.1152,0.7012,0.1233,0,18,male,1,1
224,peaked,0.003,0.003,0.001,0.0008,0.0005,0.0028,0.0007,0.2014,0.5746,0.205,0.0073,35,male,1,1
225,peaked,0.001,0.0032,0.0025,0,0.0011,0.0467,0.06,0.0637,0.6971,0.117,0.0078,23,male,1,1
226,peaked,0,0,0,0,0,0.0864,0.1241,0.1601,0.5727,0.0567,0,29,male,1,1
227,peaked,0,0,0,0,0,0,0.4035,0.5965,0,0,0,19,male,1,1
228,peaked,0.1295,0.0773,0.045,0.1169,0.1727,0.1691,0.0701,0.0162,0.0288,0.0755,0.0989,29,male,1,0
229,peaked,0,0,0,0,0,0,0.0767,0.1275,0.6507,0.1452,0,24,male,1,1
230,peaked,0,0,0.0413,0.0747,0.0975,0.14,0.3843,0.2623,0,0,0,20,male,1,1
231,peaked,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0955,0.8035,0.0175,30,male,1,1
232,peaked,0,0,0,0,0,0,0.0144,0.1352,0.7973,0.0531,0,20,male,1,1
