"","pID","condition","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","actuallyEstimated","beta","value","gamma"
"57","255","peaked",0.0309826173106368,0.0309826173106368,0.0309826173106368,0.0309826173106368,0.0309826173106368,0.0309826173106368,0.0309826173106368,0.0309826173106368,0.0138701251913897,0.707286319012879,0.0309826173106368,18,"male",1,1,NA,0.827951090476241,9.99999999473644e-08
"58","256","peaked",0.0354149770208164,0.0354149770208164,0.0354149770208164,0.0354149770208164,0.0432549337658827,0.0354149770208164,0.0354149770208164,0.638010273046769,0.0354149770208164,0.0354149770208164,0.0354149770208164,28,"male",1,1,NA,0.522748019631876,9.99999998363421e-08
"59","257","peaked",0.0796396396396396,0.0309009009009009,0.238558558558559,0.155765765765766,0.0361261261261261,0.029009009009009,0.0757657657657658,0.0663063063063063,0.0882882882882883,0.158918918918919,0.0407207207207207,19,"male",1,1,NA,0.387916379020974,9.99999998363421e-08
"60","258","peaked",0.0126126126126126,0.0126126126126126,0.0126126126126126,0.018018018018018,0.03,0.0420720720720721,0.117207207207207,0.202342342342342,0.465405405405405,0.0781081081081081,0.00900900900900901,20,"male",1,1,NA,0.0241793706631772,1e-07
"61","259","peaked",0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0105376925155363,0.0105376925155363,0.277222372331802,0.627938395028371,0.0105376925155363,0.0105376925155363,23,"male",1,1,NA,0.0120897893982987,0.744409189525961
"62","261","peaked",0.00900900900900901,0.0090990990990991,0.00900900900900901,0.00900900900900901,0.0112612612612613,0.00900900900900901,0.00900900900900901,0.907567567567568,0.00900900900900901,0.00900900900900901,0.00900900900900901,22,"male",1,1,NA,0.861496364481691,9.99999999473644e-08
"63","262","peaked",0.0129776496034607,0.0129776496034607,0.0129776496034607,0.0129776496034607,0.0129776496034607,0.0129776496034607,0.0129776496034607,0.198269646719539,0.500090122566691,0.197819033886085,0.0129776496034607,30,"male",1,1,NA,0.0448863330952455,1e-07
"64","263","peaked",0.0100009009820705,0.0100009009820705,0.0100009009820705,0.0100009009820705,0.0100009009820705,0.0100009009820705,0.0970357689881971,0.0990179295432021,0.640147761059555,0.0937922335345527,0.0100009009820705,18,"male",1,1,NA,0.0164269215229595,0.660628112995091
"65","264","peaked",0.0258535267093055,0.0135122961895325,0.050896315647239,0.0135122961895325,0.0620664804972525,0.0135122961895325,0.0135122961895325,0.0135122961895325,0.724979731555716,0.0551301684532925,0.0135122961895325,34,"male",1,1,NA,0.0356855007908926,3.89388248100708
"66","266","peaked",0.0221601657508333,0.0221601657508333,0.0269345104044681,0.0396360688226286,0.0510764795964328,0.057021889919827,0.100801729573912,0.162597964147374,0.195207638951446,0.312224123952797,0.0101792631294478,21,"male",1,1,NA,0.246313510065217,9.99999999473644e-08
"67","267","peaked",0.0100900900900901,0.0138738738738739,0.0114414414414414,0.00954954954954955,0.0102702702702703,0.0831531531531531,0.0991891891891892,0.13027027027027,0.544774774774775,0.0777477477477477,0.00963963963963964,30,"male",1,1,NA,0.0104299175989624,1e-07
"68","268","peaked",0.115765765765766,0.0996396396396396,0.0798198198198198,0.135585585585586,0.11045045045045,0.0906306306306306,0.0834234234234234,0.0636936936936937,0.0564864864864865,0.141981981981982,0.0225225225225225,23,"male",1,1,NA,0.385302404282591,9.99999999473644e-08
"69","269","peaked",0.0123390074754571,0.0123390074754571,0.0123390074754571,0.0123390074754571,0.0123390074754571,0.0123390074754571,0.0123390074754571,0.0773664775285959,0.640097271007836,0.183824191659912,0.0123390074754571,21,"male",1,1,NA,0.0409067348489856,0.912637724402455
"70","270","peaked",0.00900900900900901,0.0128828828828829,0.0298198198198198,0.0436036036036036,0.0511711711711712,0.0810810810810811,0.0822522522522522,0.137117117117117,0.155855855855856,0.180900900900901,0.216306306306306,21,"male",1,1,NA,0.27352212477397,9.99999999473644e-08
"71","271","peaked",0.0798883184724849,0.0798883184724849,0.0798883184724849,0.0948392326398271,0.082590290912366,0.0798883184724849,0.0798883184724849,0.0798883184724849,0.183463928667928,0.0798883184724849,0.0798883184724849,37,"male",1,1,NA,0.230864435099837,9.99999999473644e-08
"72","272","peaked",0.0107216866384359,0.0093702135327507,0.00900982070456798,0.0100909991891161,0.00900982070456798,0.00900982070456798,0.0885665375259032,0.185332011892963,0.384539147670961,0.27362825479773,0.0107216866384359,18,"male",1,1,NA,0.106915576456438,1e-07
"73","273","peaked",0.0104495090532384,0.0104495090532384,0.0104495090532384,0.0104495090532384,0.0104495090532384,0.0104495090532384,0.0104495090532384,0.138095667057022,0.636879560399964,0.138816322853797,0.0130618863165481,32,"male",1,1,NA,0.01891586465225,0.861586582714218
"74","274","peaked",0.0108108108108108,0.0090990990990991,0.0118018018018018,0.00963963963963964,0.0100900900900901,0.0113513513513513,0.0368468468468468,0.0938738738738739,0.671711711711712,0.0963963963963964,0.0383783783783784,22,"male",1,1,NA,0.016985650381243,1.318731621215
"75","275","peaked",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.114234234234234,0.115045045045045,0.533333333333333,0.174324324324324,0.00900900900900901,20,"male",1,1,NA,0.0364034905522065,1e-07
