"","pID","condition","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","actuallyEstimated"
"181","227","peaked",0,0,0,0,0,0,0.4035,0.5965,0,0,0,19,"male",1,1
"182","229","peaked",0,0,0,0,0,0,0.0767,0.1275,0.6507,0.1452,0,24,"male",1,1
"183","230","peaked",0,0,0.0413,0.0747,0.0975,0.14,0.3843,0.2623,0,0,0,20,"male",1,1
"184","231","peaked",0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0955,0.8035,0.0175,30,"male",1,1
"185","232","peaked",0,0,0,0,0,0,0.0144,0.1352,0.7973,0.0531,0,20,"male",1,1
"186","234","peaked",0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0685,0.1352,0.7103,0.0744,0.0017,20,"male",1,1
"187","236","peaked",0,0,0,0,0.0044,0.012,0.1002,0.2276,0.5179,0.1378,0,22,"male",1,1
"188","237","peaked",0,0,0,0,0,0,0.0674,0.0985,0.7908,0.0433,0,20,"male",1,1
"189","238","peaked",0,0,0,0,0,0,0.0223,0.6886,0.2891,0,0,18,"male",1,1
"190","240","peaked",0.0315,0.0336,0.0241,0.03,0.0282,0.0323,0.0309,0.0311,0.0305,0.0247,0.7031,20,"male",1,1
"191","241","peaked",0,0,0,0,0,0,0,0.79,0,0.21,0,33,"male",1,1
"192","242","peaked",0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0542,0.7928,0.0495,0.0129,20,"male",1,1
"193","243","peaked",3e-04,3e-04,3e-04,0.1501,0.1509,0.1528,0.1513,0.3929,3e-04,3e-04,3e-04,20,"male",1,1
"194","244","peaked",0.002,0.002,0.002,0.002,0.002,0.1819,0.002,0.2326,0.5695,0.002,0.002,21,"male",1,1
"195","245","peaked",8e-04,8e-04,8e-04,8e-04,8e-04,8e-04,8e-04,0.0966,0.7957,0.1011,7e-04,19,"male",1,1
"196","246","peaked",0.0017,0,0.0378,0,0.0559,0,0,0.0258,0.794,0.0393,0.0454,26,"male",1,1
"197","247","peaked",0.0028,0.01,0.025,0.0395,0.0587,0.0946,0.1454,0.1891,0.243,0.1918,0,19,"male",1,1
"198","248","peaked",0,0,0,0.0367,0.0273,0.0647,0.5978,0.215,0.0585,0,0,20,"male",1,1
"199","249","peaked",0,0,0,0,0,0,0.0942,0.2067,0.6395,0.0567,0.003,22,"male",1,1
"200","251","peaked",0,0,0,0,0,0.0444,0.1232,0.3457,0.392,0.0947,0,18,"male",1,1
"201","253","peaked",0,0,0.01,0.0467,0.0612,0.0633,0.1766,0.3089,0.28,0.0533,0,27,"male",1,1
"202","254","peaked",0.0707,0.1417,0.043,0.024,0.1417,0.0915,0.0413,0.2765,0.004,0.0413,0.1243,23,"male",1,1
"203","255","peaked",0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0054,0.7753,0.0244,18,"male",1,1
"204","256","peaked",0.0293,0.0293,0.0293,0.0293,0.038,0.0293,0.0293,0.698,0.0293,0.0293,0.0293,28,"male",1,1
"205","257","peaked",0.0784,0.0243,0.2548,0.1629,0.0301,0.0222,0.0741,0.0636,0.088,0.1664,0.0352,19,"male",1,1
